,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
68,259340,Chicken Shoot Gold,ToonTRAXX Studios,Topware Interactive,,567,277,0,"100,000 .. 200,000",305,0,302,0,699,699,0,175,"English, French, Italian, German, Spanish - Spain, Polish","Action, Casual, Indie","{'Action': 575, 'Casual': 43, 'Indie': 39, 'Psychological Horror': 15, 'Shooter': 14, 'Nudity': 9, 'Mature': 5}"
69,809140,Cliff Empire,Lion's Shade,Lion's Shade,,3342,483,0,"200,000 .. 500,000",765,0,817,0,1499,1499,0,51,"English, Ukrainian, Simplified Chinese, French, Italian, German, Czech, Japanese, Traditional Chinese, Spanish - Spain, Polish, Korean, Turkish","Indie, Simulation, Strategy","{'City Builder': 94, 'Colony Sim': 91, 'Simulation': 68, 'Strategy': 63, 'Indie': 54, 'Management': 44, 'Sci-fi': 41, 'Post-apocalyptic': 28, 'Singleplayer': 24, 'Resource Management': 22, 'Building': 14, 'Futuristic': 14, 'Cyberpunk': 6}"
70,457730,Mushroom Wars 2,Zillion Whales,Zillion Whales,,574,338,0,"200,000 .. 500,000",353,0,469,0,1499,1499,0,8,"English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Turkish, Italian, Japanese, Simplified Chinese, Korean","Action, Indie, Strategy","{'Strategy': 70, 'Multiplayer': 47, 'RTS': 44, 'Action': 42, 'Indie': 38, 'Tower Defense': 33, 'Tactical': 25, '2D': 21, 'Classic': 14, 'Atmospheric': 14, 'Replay Value': 14}"
71,1509820,Cloud Climber,Two Star Games,Two Star Games,,3450,299,0,"200,000 .. 500,000",9,0,12,0,0,0,0,0,English,"Adventure, Casual, Free to Play, Indie","{'Free to Play': 60, 'Walking Simulator': 53, 'Casual': 47, 'Adventure': 46, 'Atmospheric': 39, 'Singleplayer': 37, 'First-Person': 32, 'Post-apocalyptic': 29, 'Exploration': 24, 'Relaxing': 23, '3D': 21, 'Story Rich': 19, 'Stylized': 17, 'Puzzle': 16, 'Hand-drawn': 15, 'Dark Fantasy': 14, 'Fantasy': 13, 'Great Soundtrack': 12, 'Alternate History': 11, 'Funny': 10}"
72,1264280,Slipways,Beetlewing,Beetlewing,,1624,122,0,"200,000 .. 500,000",397,0,553,0,1699,1699,0,36,"English, French, German, Polish, Spanish - Spain, Simplified Chinese",Strategy,"{'Strategy': 135, 'Turn-Based Strategy': 130, 'Puzzle': 129, 'Sandbox': 122, 'Relaxing': 121, 'Sci-fi': 112, 'Turn-Based': 111, 'Resource Management': 110, 'Economy': 110, 'Procedural Generation': 105, 'Management': 98, 'Science': 95, 'Building': 89, '4X': 86, 'Futuristic': 85, 'Space': 75, 'Indie': 67, 'Singleplayer': 58, 'Family Friendly': 44, 'Grand Strategy': 42}"
73,575860,Tomb Joe,Amaterasu Software,Amaterasu Software,,76,92,0,"100,000 .. 200,000",235,0,246,0,30,99,70,0,English,"Action, Adventure, Casual, Indie","{'Casual': 83, 'Adventure': 24, 'Action': 23, 'Indie': 23, 'Platformer': 6}"
74,260750,Neighbours from Hell Compilation,JoWooD Vienna,HandyGames,,2589,65,0,"200,000 .. 500,000",130,0,162,0,1499,1499,0,6,"English, French, German, Spanish - Spain, Hungarian, Polish, Russian, Simplified Chinese, Italian","Adventure, Casual","{'Comedy': 153, 'Casual': 101, 'Classic': 88, 'Funny': 85, 'Point & Click': 83, 'Puzzle': 78, 'Adventure': 73, 'Singleplayer': 72, 'Stealth': 59, 'Strategy': 50, 'Nostalgia': 26, 'Old School': 18, 'Atmospheric': 15, 'Great Soundtrack': 14, 'Arcade': 11, '2D': 10, 'Psychological Horror': 8}"
75,438010,PulseCharge,Frozenmerk Games,Frozenmerk Games,,82,81,0,"200,000 .. 500,000",241,0,248,0,99,99,0,2,English,"Action, Indie","{'Indie': 193, 'Platformer': 136, 'Action': 133, '2D': 130, 'Puzzle': 127, 'Side Scroller': 119, 'Precision Platformer': 116, 'Puzzle-Platformer': 114, 'Cartoon': 112, 'Cartoony': 110, 'Hand-drawn': 108, 'Fantasy': 105, 'Psychedelic': 102, 'Female Protagonist': 99, 'Artificial Intelligence': 87, 'Combat': 85, 'PvE': 83, 'Score Attack': 81, 'Singleplayer': 79, 'Exploration': 77}"
76,257400,Fuse,Mixamo,Mixamo,,1411,773,0,"200,000 .. 500,000",158,0,131,0,0,0,0,19,English,"Animation & Modeling, Design & Illustration, Utilities, Video Production","{'Animation & Modeling': 167, 'Character Customization': 144, 'Design & Illustration': 91, 'Nudity': 87, 'Game Development': 66, 'Software': 58, 'Free to Play': 56, 'Utilities': 55, 'Video Production': 45, 'Simulation': 44, 'Horror': 14, 'Multiplayer': 12}"
77,211780,Conflict Desert Storm,Pivotal Games,Square Enix,,696,257,0,"200,000 .. 500,000",31,0,33,0,699,699,0,10,English,Action,"{'Action': 65, 'Tactical': 41, 'Third-Person Shooter': 33, 'Classic': 29, 'Multiplayer': 27, 'Singleplayer': 26, 'Military': 21, 'Shooter': 20, 'Strategy': 17, 'Third Person': 6}"
78,434420,The Chosen RPG,Little Big Lee,Senpai Studios,,837,350,0,"200,000 .. 500,000",303,0,218,0,199,199,0,0,English,"Action, Adventure, Indie, RPG","{'Anime': 115, 'Mature': 104, 'Nudity': 101, 'RPG': 85, 'RPGMaker': 74, 'Adventure': 44, 'Indie': 44, 'Sexual Content': 41, 'JRPG': 31, 'Hentai': 31, 'Singleplayer': 25, 'Action': 23, 'Pixel Graphics': 20, '2D': 16, 'Fantasy': 16, 'Female Protagonist': 15, 'Story Rich': 11, 'Turn-Based': 10, 'Retro': 9, 'Gore': 7}"
79,1590180,Shillelagh,Andrew Simon Thomas LLC,Andrew Simon Thomas LLC,,11,5,0,"200,000 .. 500,000",0,0,0,0,499,499,0,0,English,Action,"{'Arena Shooter': 520, 'FPS': 515, 'Difficult': 510, 'Shooter': 507, '2.5D': 504, '3D': 494, 'First-Person': 492, 'Horror': 487, 'Action': 485, 'Rome': 483, 'Procedural Generation': 477, 'Hand-drawn': 471, 'Mythology': 465, 'Psychedelic': 453, 'Cartoon': 451, 'Combat': 449, 'Singleplayer': 435, 'Fast-Paced': 423, 'Indie': 422, 'Arcade': 412}"
80,8880,Freedom Force,Irrational Games,2K,,269,214,0,"200,000 .. 500,000",57,0,57,0,499,499,0,0,English,"RPG, Strategy","{'RPG': 69, 'Strategy': 59, 'Superhero': 48, 'Real-Time with Pause': 30, 'Singleplayer': 17, 'Comic Book': 16, 'Classic': 11, 'Multiplayer': 10, 'Tactical': 8}"
